k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm
784,1.568200156662187e-17,0.0,2.104588061346695e-17,True,False,stacked_exact,False,19.57876152709042,783.1504610836167,0.09729464083966272,0.06330717983226217,0.0,5.940082544849768,0.0
785,2.710505431213761e-18,0.0,7.061557318702801e-18,True,False,stacked_exact,False,19.6179068321256,784.7162732850238,0.09746743904931693,0.06342253401625735,0.0,5.951881567732695,0.0
786,1.951563910473908e-18,0.0,3.660589812419347e-18,True,False,stacked_exact,False,19.656660319585068,786.2664127834028,0.09763869575584169,0.06353679688678121,0.0,5.963597985930011,0.0
787,1.734723475976807e-18,0.0,6.111143585385707e-18,True,False,stacked_exact,False,19.69505585184169,787.8022340736676,0.09780843102709817,0.0636499789619345,0.0,5.975215135646998,0.0
788,8.782037597132586e-18,5.551115123125783e-17,5.637420841828944e-17,True,False,stacked_exact,False,19.73310573978345,789.3242295913382,0.09797667636862233,0.06376210220899818,0.0,5.986733089647125,0.0
789,7.908732794022941e-18,0.0,1.5627136457751482e-17,True,False,stacked_exact,False,19.77082079901516,790.8328319606064,0.09814346773868803,0.06387319516176646,0.0,5.998152174094209,0.0
790,1.0203604003112332e-17,5.551115123125783e-17,5.707335308504936e-17,True,False,stacked_exact,False,19.808211701377566,792.3284680551027,0.09830877195024895,0.06398321675751613,0.0,6.00947145816139,0.0
791,2.3852447794681098e-18,0.0,4.335499432666324e-18,True,False,stacked_exact,False,19.8452605584358,793.8104223374321,0.09847261981879861,0.06409218124249856,0.0,6.02070886075233,0.0
792,2.6020852139652106e-18,0.0,1.2801076771618874e-17,True,False,stacked_exact,False,19.881976349023457,795.2790539609384,0.09863510232612042,0.06420016674352298,0.0,6.031864825409801,0.0
793,8.739099952107425e-18,0.0,8.713553967523215e-18,True,False,stacked_exact,False,19.91839183132066,796.7356732528262,0.0987961902539932,0.06430713934673293,0.0,6.042920881083474,0.0
